tag	tæg	n.附加语;标签
tissue	‘tisju:	n.薄绢;薄纸;组织
toast	təust	n.烤面包vt.烘，烤
toast	təust	n.祝酒;祝酒词
toe	təu	n.脚趾，足尖
toilet	‘tɔilit	n.厕所，盥洗室，浴室
tolerance	‘tɔlərəns	n.忍受，容忍;公差
tolerate	‘tɔləreit	vt.忍受，容忍，宽恕
tone	təun	n.音;腔调;声调
torch	tɔ:tʃ	n.火炬，火把;手电筒
torture	‘tɔ:tʃə	n.拷问;折磨vt.拷打
total	‘təutl	a.总的vi.合计，总共
touch	tΛtʃ	vt.触摸;触动;感动n.触
tough	tΛf	a.坚韧的;健壮的
tour	tuə	n.&vi.旅行，游历
tourist	‘tuərist	n.旅游者，观光者
towel	‘tauəl	n.毛巾，手巾
tower	‘tauə	n.塔vi.屹立，高耸
trace	treis	n.痕迹;丝毫vt.跟踪
track	træk	n.行踪;路径;轨道
tractor	‘træktə	n.拖拉机;牵引车
trade	treid	n.贸易;职业vi.交易
traffic	‘træfik	n.交通，通行;交通量
tragedy	‘trædʒidi	n.悲剧;惨事，惨案
trail	treil	n.痕迹;小径vt.跟踪
transfer	træns’fə:	vt.转移;调动vi.转移
transform	træns’fɔ:m	vt.改变;改造;变换
transformation	trænsfə’meiʃən	n.变化;改造;转变
transformer	træns’fɔ:mə	n.变压器，转换器
transistor	træn’sistə	n.晶体管
transmission	trænz’miʃən	n.传送;传动;发射
transmit	trænz’mit	vt.传送，传达;发射
transparent	træns’peərənt	a.透明的;易识破的
transport	træns’pɔ:t	vt.运输n.运输
transportation	trænspɔ:’teiʃən	n.运输，运送，客运
trap	træp	n.陷阱;诡计vt.诱骗
tray	trei	n.(浅)盘，托盘，碟
treasure	‘treʒə	n.财富;珍宝vt.珍视
treat	tri:t	vt.对待;处理n.款待
treatment	‘tri:tmənt	n.待遇;治疗，疗法
treaty	‘tri:ti	n.条约;协议，协定
tremble	‘trembl	vi.发抖，哆嗦;摇动
tremendous	tri’mendəs	a.极大的，非常的
trend	trend	vi.伸向;倾向n.倾向
trial	‘traiəl	n.试，试验;审判
triangle	‘traiængl	n.三角(形)
trick	trik	n.诡计;窍门vt.哄骗
trim	trim	a.整齐的vt.使整齐
triumph	‘traiəmf	n.凯旋;胜利vi.成功
troop	tru:p	n.军队;一群，大量
tropical	‘trɔpikəl	a.热带的
troublesome	‘trΛblsəm	a.令人烦恼的;麻烦的
trumpet	‘trΛmpit	n.喇叭，小号
trunk	trΛŋk	n.树干;大衣箱，皮箱
trust	trΛst	n.信任vt.相信;委托
truth	tru:θ	n.真理;真实;真实性
tube	tju:b	n.管;电子管，显像管
tune	tju:n	n.调子;和谐vt.调谐
tunnel	‘tΛnl	n.隧道，坑道，地道
turbine	‘tə:bin	n.叶轮机，汽轮机
twin	twin	a.孪生的n.孪生儿
twist	twist	vt.捻;拧vi.&n.扭弯
type	taip	n.型，类型vi.打字
typewriter	‘taipraitə	n.打字机
typical	‘tipikəl	a.典型的，代表性的
typist	‘taipist	n.打字员
tyre	‘taiə	n.轮胎，车胎
ultimate	‘Λltimit	a.最后的，最终的
unconscious	Λn’kɔʃəs	a.不省人事的
uncover	Λn’kΛvə	vt.揭开…的盖子
undergo	Λndə’gəu	vt.经历，经受，忍受
undergraduate	Λndə’grædjuit	n.大学在校生
underline	Λndə’lain	vt.划线于…之下
underneath	Λndə’ni:θ	ad.在下面，在底下
undertake	Λndə’teik	vt.从事;承担;保证
undo	‘Λn’du:	vt.解开，打开;取消
undoubtedly	Λn’dautidli	ad.无容置疑，肯定地
uneasy	Λn’i:zi	a.心神不安的，忧虑的
unexpected	‘Λniks’pektid	a.想不到的，意外的
uniform	‘ju:nifɔ:m	a.一样的n.制服
union	‘ju:njən	n.联合;团结;协会
unique	ju:’ni:k	a.唯一的，独一无二的
unit	‘ju:nit	n.单位;单元;部件
unite	ju’nait	vi.联合vt.使联合
unity	‘ju:niti	n.单一;统一;团结
universal	ju:ni’və:səl	a.宇宙的;普遍的
unknown	‘Λn’nəun	a.不知道的;未知的
unless	‘Λn’les	conj.除非，如果不
unlike	‘Λn’laik	a.不同的prep.不象…
unlikely	Λn’laikli	a.未必的，未必可能的
unload	Λn’ləud	vt.卸(货)vi.卸货
upper	‘Λpə	a.上面的;地位较高的
upright	‘Λprait	a.垂直的;正直的
upset	Λp’set	vt.弄翻，打翻，倾覆
up-to-date	‘Λptə’deit	a.直到最近的，现代的
upward	‘Λpwəd	a.向上的，上升的
urban	‘ə:bən	a.都市的,住在都市的
urge	ə:dʒ	vt.推进;催促n.冲动
urgent	‘ə:dʒənt	a.紧急的;强求的
usage	‘ju:zidʒ	n.使用，对待;惯用法
utility	ju:’tiliti	n.效用，有用，实用
utilize	‘ju:tilaiz	vt.利用
utmost	‘Λtməust	a.最远的n.极限
utter	‘Λtə	a.完全的，彻底的vt.发出，说，讲
vacant	‘veikənt	a.空的;未被占用的
vacuum	‘vækjuəm	n.真空;真空吸尘器
vague	veig	a.模糊的，含糊的
vain	vein	a.徒劳的;自负的
valid	‘vælid	a.有效的;正当的
value	‘vælju:	n.价值;价格vt.评价
van	væn	n.大篷车，运货车
vanish	‘væniʃ	vi.突然不见，消失
vapour	‘veipə	n.汽，蒸气
variable	‘veəriəbl	a.易变的n.变量
variation	veəri’eiʃən	n.变化，变动;变异
variety	və’raiəti	n.多样化;种类;变种
various	‘veəriəs	a.各种各样的，不同的
vary	‘veəri	vt.改变;使多样化
vast	va:st	a.巨大的;大量的
vehicle	‘vi:ikl	n.车辆，机动车
velocity	vi’lɔsiti	n.速度，速率
venture	‘ventʃə	n.&vi.冒险vt.敢于
verify	‘verifai	vt.证实，查证;证明
version	‘və:ʃən	n.译文;说法;改写本
vertical	‘və:tikəl	a.垂直的，竖式的
vessel	‘vesl	n.容器;船，飞船;管
veteran	‘vetərən	n.老兵，老手
via	‘vaiə	prep.经过;通过
vibrate	vai’breit	vt.使颤动vi.颤动
vice	vais	n.罪恶;恶习;缺点
vice	vais	n.(老)虎钳
vigorous	‘vigərəs	a.朝气蓬勃的
vinegar	‘vinigə	n.醋
violent	‘vaiələnt	a.猛烈的;狂暴的
violet	‘vaiəlit	n.紫罗兰
virtually	‘və:tjuəli	ad.实际上，事实上
virtue	‘və:tju:	n.善;美德;优点
visible	‘vizəbl	a.可见的，看得见的
vision	‘viʒən	n.视;想象力;梦幻
visual	‘vizjuəl	a.看的;看得见的
vital	‘vaitl	a.生命的;有生命力的
vitamin	‘vitəmin	n.维生素，维他命
vivid	‘vivid	a.鲜艳的;生动的
volcano	vɔl’keinəu	n.火山
volt	vəult	n.伏特，伏
voltage	‘vaultidʒ	n.电压
volume	‘vɔljum	n.卷，册;容积;音量
voluntary	‘vɔləntəri	a.自愿的，志愿的
voyage	vɔidʒ	n.&vi.航海，航空
wage	weidʒ	vt.开展(运动)
waggon	‘wægən	n.四轮运货马车
waken	‘weikən	vi.醒来vt.弄醒
wander	‘wɔndə	vi.漫游;迷路;离题
want	wɔnt	n.需要;缺乏
warmth	wɔ:mθ	n.暖和，温暖;热烈
water	‘wɔ:tə	n.水vt.使湿，灌溉
waterproof	‘wɔ:təpru:f	a.不透水的，防水的
wave	weiv	n.波;波涛vi.波动
wax	wæks	n.蜡，蜂蜡
weaken	‘wi:kən	vt.削弱vi.变弱
weakness	‘wi:knis	n.虚弱，软弱;弱点
wear	weə	vt.磨损
weave	‘wi:v	vt.织，编vi.纺织
weed	wi:d	n.杂草，野草vi.除草
weep	wi:p	vi.哭泣，流泪
weld	weld	vt.&n.焊接，熔接
welfare	‘welfeə	n.幸福，福利
wheat	wi:t	n.小麦
wheel	wi:l	n.轮，车轮
whilst	‘wailst	conj.&n.当…的时候
whip	wip	vt.鞭笞;搅打n.鞭子
whisper	‘wispə	vt.低声地讲vi.低语
whistle	‘wisl	n.口哨vi.吹口哨
wholly	‘həuli	ad.完全地，全部
wicked	‘wikid	a.坏的;令人厌恶的
widen	‘waidn	vt.加宽vi.变宽
widow	‘widəu	n.寡妇
width	widθ	n.宽阔，广阔;宽度
willing	‘wiliŋ	a.愿意的，心甘情愿的
wind	waind	vt.绕，缠绕vi.卷曲
wing	wiŋ	n.翼，翅膀，翅
wire	‘waiə	n.金属线;电缆;电信
wit	wit	n.智力，才智，智能
withdraw	wið’drɔ:	vt.收回;撤回vi.撤退
withstand	wið’stænd	vt.抵挡，反抗
witness	‘witnis	n.证据;证人vt.目击
wooden	‘wudn	a.木制的;呆板的
wool	wul	n.羊毛;毛线，绒线
workman	‘wə:kmən	n.工人，劳动者，工匠
workshop	‘wə:kʃɔp	n.车间，工场;创作室
world-wide	‘wə:ldwaid	a.遍及全球的
worm	wə:m	n.虫，蠕虫
worship	‘wə:ʃip	n.礼拜;崇拜vt.崇拜
worst	wə:st	a.最坏的ad.最坏地
worth	wə:θ	a.值…的n.价值
worthless	‘wə:θlis	a.无价值的，无用的
worthwhile	‘wə:θ’wail	a.值得花时间的
worthy	‘wə:ði	a.有价值的;值得的
wound	wu:nd	n.创伤，伤vt.使受伤
wrap	ræp	vt.裹，包，捆n.披肩
wreck	rek	n.失事;残骸vt.破坏
wrist	rist	n.腕，腕关节
X-ray	‘eks’rei	n.X射线，X光
yard	ja:d	n.院子，庭院;场地
yard	ja:d	n.码
yawn	jɔ:n	vi.打呵欠n.呵欠
yearly	‘jə:li	a.每年的ad.一年一度
yield	ji:ld	vt.&vi.出产n.产量
youth	ju:θ	n.青春;青年们;青年
zone	zəun	n.地区，区域，范围
