table	ˈteɪb(ə)l	n. 桌子，表格
through	θruː	prep. 穿（通）过;从始至终 ad. 穿(通)过;自始至终,全部
throughout	θruːˌaut	prep.遍及ad.到处
throw	θrəʊ	v. 投,掷,扔
thrust	θrʌst	vt.插，刺n.插;讽刺
thumb		
thunder	ˈθʌndə	n.雷vi.打雷vt.吼出
thunderous		
Thursday	ˈθəːzdeɪ	n. 星期四
thus	ðʌs	ad.如此，这样;因而
tick	tɪk	vt. 作记号 n. 记号,符号,滴答声
ticket	ˈtɪkɪt	n. 票；卷
tickle		
tidal		
tide	taid	n.潮，潮汐;潮流
tidy	ˈtaidi	a.整洁的;整齐的
tie	taɪ	vt.（用绳，线）系，拴，扎 n. 领带，绳子，结；关系
tiger	ˈtaɪɡə(r)	n. 老虎
tight	taɪt	adj. 紧的；密封的；绷紧的；麻烦的；严厉的；没空的；吝啬的；adv. 紧紧地；彻底地
tighten		
tigress		
tile		
till	tɪl	conj.& prep. 直到,直到…为止
tilt		
timber		
time	taɪm	n. 时间;时期;钟点,次,回 vt. 测定…的时间,记录…的时间
timely		
timid		
timing		
tin	tin	n.锡;罐头
tiny	ˈtaɪni	微小的；很少的
tip	tip	vt.轻击vi.给小费
tire	ˈtaiə	vi.疲劳，累;厌倦
tired	ˈtaɪəd	a. 疲劳的，累的
tireless		
tiresome		
tiring		
tissue	ˈtisjuː	n.薄绢;薄纸;组织
title		
to	tʊ, tuː	prep. 给；对，向，到
toast	təust	n.烤面包vt.烘，烤；n.祝酒;祝酒词
tobacco	təˈbækəʊ	n. 烟草，烟叶；烟草制品；抽烟
today	tədei	ad.& n. 今天;现在,当前
toe	təu	n.脚趾，足尖
together	təˈgeðə	ad. 一起，共同
toil		
toilet	ˈtɔilit	n.厕所，盥洗室，浴室
token		
tolerable		
tolerance	ˈtɔlərəns	n.忍受，容忍;公差
tolerant		
tolerate	ˈtɔləreit	vt.忍受，容忍，宽恕
toll		
tomato	təˈmɑːtəʊ; (US) təˈmeɪtəʊ	n. 西红柿，番茄
tomorrow	təˈmɔrəʊ	ad. & n. 明天
ton	tʌn	n.（重量单位）吨
tone	təun	n.音;腔调;声调
tongue	tʌŋ	n. 舌，舌头
tonight	təˈnaɪt	ad.& n. 今晚，今夜
tonnage		
too	tuː	ad. 也,还,又,太,非常
tool	tuːl	n. 工具，器具
tooth	tuːθ	n. 牙齿
top	tɔp	n. 顶部,（物体的）上面
topic		
topical		
topple		
torch	tɔːtʃ	n.火炬，火把;手电筒
tornado		
torture	ˈtɔːtʃə	n.拷问;折磨vt.拷打
toss		
total	ˈtəutl	a.总的vi.合计，总共
touch	tʌtʃ	vt.触摸;触动;感动n.触
tough	tʌf	a.坚韧的;健壮的
tour	tuə	n.&vi.旅行，游历
tourism	ˈtʊərɪz(ə)m	n. 旅游业；观光
tourist	ˈtuərist	n.旅游者，观光者
tournament		
tow		
toward	təˈwɔːd(z)	prep. 向，朝，对于
towel	ˈtauəl	n.毛巾，手巾
tower	ˈtauə	n.塔vi.屹立，高耸
town	taʊn	n. 城镇，城
township		
toxic		
toy	tɔɪ	n. 玩具, 玩物
trace	treis	n.痕迹;丝毫vt.跟踪
track	træk	n.行踪;路径;轨道
tract		
tractor	ˈtræktə	n.拖拉机;牵引车
trade	treid	n.贸易;职业vi.交易
trademark		
tradition	trəˈdɪʃ (ə)n	n. 传统，风俗
traditional	trəˈdɪʃ(ə)n(ə)l	a. 传统的，风俗的，惯例的
traffic	ˈtræfik	n.交通，通行;交通量
trafficking		
tragedy	ˈtrædʒidi	n.悲剧;惨事，惨案
tragic		
tragically		
trail	treil	n.痕迹;小径vt.跟踪
trailer		
train	treɪn	n. 火车 v. 培训,训练
trainee		
trainer	treɪnə(r)	n. 训练人；教练
training	ˈtreɪnɪŋ	n. 培训
trait		
tram		
tranquil		
tranquility		
transaction		
transcend		
transcript		
transfer	trænsˌfəː	vt.转移;调动vi.转移
transference		
transform	trænsˌfɔːm	vt.改变;改造;变换
transformation	trænsfəˌmeiʃən	n.变化;改造;转变
transformer	trænsˌfɔːmə	n.变压器，转换器
transient		
transistor	trænˌsistə	n.晶体管
transit		
transition		
transitional		
translate	trænsˈleɪt	vt. 翻译
translation		
translator		
transmission	trænzˌmiʃən	n.传送;传动;发射
transmit	trænzˌmit	vt.传送，传达;发射
transmitter		
transparency		
transparent	trænsˌpeərənt	a.透明的;易识破的
transplant		
transplantation		
transport	trænsˌpɔːt	vt.运输n.运输
transportation	trænspɔːˌteiʃən	n.运输，运送，客运
trap	træp	n.陷阱;诡计vt.诱骗
trash		
trauma		
traumatic		
travel	ˈtræv(ə)l	n.& vi. 旅行
tray	trei	n.(浅)盘，托盘，碟
tre		
tread		
treasure	ˈtreʒə	n.财富;珍宝vt.珍视
treasurer		
treasury		
treat	triːt	vt.对待;处理n.款待
treatment	ˈtriːtmənt	n.待遇;治疗，疗法
treaty	ˈtriːti	n.条约;协议，协定
tree	triː	n. 树
trek		
tremble	ˈtrembl	vi.发抖，哆嗦;摇动
tremendous	triˌmendəs	a.极大的，非常的
trench		
trend	trend	vi.伸向;倾向n.倾向
trial	ˈtraiəl	n.试，试验;审判
triangle	ˈtraiængl	n.三角(形)
triangular		
tribal		
tribe		
tribune		
tribute		
trick	trik	n.诡计;窍门vt.哄骗
trickle		
tricky		
trifle		
trigger		
trillion		
trim	trim	a.整齐的vt.使整齐
trip	trɪp	n. 旅行，旅程
triple		
triumph	ˈtraiəmf	n.凯旋;胜利vi.成功
triumphant		
trivial		
trolley		
troop	truːp	n.军队;一群，大量
trophy		
tropic		
tropical	ˈtrɔpikəl	a.热带的
trouble	ˈtrʌb(ə)l	vt. 使苦恼,使忧虑,使麻烦 n. 问题,疾病,烦恼,麻烦
troublesome	ˈtrʌblsəm	a.令人烦恼的;麻烦的
trousers	ˈtraʊzəz	n. 裤子，长裤
truck	trʌk	n. 卡车, 运货车；车皮
true	truː	a. 真的，真实的；忠诚的
truly		
trumpet	ˈtrʌmpit	n.喇叭，小号
trunk	trʌŋk	n.树干;大衣箱，皮箱
trust	trʌst	n.信任vt.相信;委托
trustee		
truth	truːθ	n.真理;真实;真实性
truthful		
try	trai	v. 试，试图，努力
trying		
tub		
tube	tjuːb	n.管;电子管，显像管
tuck		
Tuesday	ˈtjuːzdeɪ	n. 星期二
tug		
tuition	tjuˈɪʃən	n. 学费；讲授
tumble		
tumor		
tune	tjuːn	n.调子;和谐vt.调谐
tunnel	ˈtʌnl	n.隧道，坑道，地道
turbine	ˈtəːbin	n.叶轮机，汽轮机
turbulence		
turbulent		
turkey	ˈtɜːkɪ	n. 火鸡
turmoil		
turn	tɜːn	v. 旋转，翻转，转变，转弯 n. 轮流，顺序
turnout		
turnover		
turtle		
tutor		
tutorial		
TV		= television [tiː'viː] n. 电视机
twelfth	twelfθ	num. 第十二
twelve	twelv	num. 十二
twentieth	ˈtwentɪɪθ	vnum. 第二十
twenty	ˈtwentɪ	num. 二十
twice	twaɪs	ad. 两次；两倍
twin	twin	a.孪生的n.孪生儿
twist	twist	vt.捻;拧vi.&n.扭弯
two	tuː	num. 二
type	taip	n.型，类型vi.打字
typewriter	ˈtaipraitə	n.打字机
typical	ˈtipikəl	a.典型的，代表性的
typist	ˈtaipist	n.打字员
tyre	ˈtaiə	n.轮胎，车胎
ugliness		
ugly		
ultimate	ˈʌltimit	a.最后的，最终的
ultimately		
ultra		
umbrella	ʌmˈbrelə	n. 雨伞
unanimous		
uncertain	ənˈsɜrtən	adj. 无常的；含糊的；靠不住的；迟疑不决的
uncertainty		
uncle	ˈʌŋk(ə)l	n. 叔,伯,舅,姑夫,姨父
unconscious	ʌnˌkɔʃəs	a.不省人事的
uncover	ʌnˌkʌvə	vt.揭开…的盖子
under	ˈʌndə(r)	ad.& prep. 在…下面，向…下面
underdeveloped		
underestimate		
undergo	ʌndəˌgəu	vt.经历，经受，忍受
undergraduate	ʌndəˌgrædjuit	n.大学在校生
underground	ʌndəˈɡraʊnd	a. 地下的 n. 地铁
underlie		
underline	ʌndəˌlain	vt.划线于…之下
underlying		
undermine		
underneath	ʌndəˌniːθ	ad.在下面，在底下
understand	ʌndəˈstænd	v. 懂得;明白;理解
understanding	ʌndəˈstændɪŋ	n. 领会;理解
undertake	ʌndəˌteik	vt.从事;承担;保证
undertaking		
underwear		
undo	ˈʌnˌduː	vt.解开，打开;取消
undoubtedly	ʌnˌdautidli	ad.无容置疑，肯定地
uneasy	ʌnˌiːzi	a.心神不安的，忧虑的
unemployed		
unemployment	ˌʌnɪmˈplɔɪmənt	n. 失业；失业率；失业人数
unexpected	ˈʌniksˌpektid	a.想不到的，意外的
unfold		
unification		
uniform	ˈjuːnifɔːm	a.一样的n.制服
uniformity		
unify		
unilateral		
union	ˈjuːnjən	n.联合;团结;协会
unique	juːˌniːk	a.唯一的，独一无二的
unit	ˈjuːnit	n.单位;单元;部件
unite	juˌnait	vi.联合vt.使联合
unity	ˈjuːniti	n.单一;统一;团结
universal	juːniˌvəːsəl	a.宇宙的;普遍的
universe	ˈjuːnɪvɜːs	n. 宇宙
university	juːnɪˈvɜːsɪtɪ	n. 大学
unknown	ˈʌnˌnəun	a.不知道的;未知的
unleash		
unless	ˈʌnˌles	conj.除非，如果不
unlike	ˈʌnˌlaik	a.不同的prep.不象…
unlikely	ʌnˌlaikli	a.未必的，未必可能的
unload	ʌnˌləud	vt.卸(货)vi.卸货
unprecedented		
until	ʌnˈtɪl	prep.& conj. 直到…为止
unveil		
up	ʌp	ad. 向上;在上方 prep. 向(高处);向(在)…上(面)游
up-to-date	ˈʌptəˌdeit	a.直到最近的，现代的
update	ˌʌpˈdeɪt	n. 更新；现代化；vt. 更新；校正，修正；使现代化
upgrade		
uphold		
upload		
upon	əˈpɔn	prep. 在…上面
upper	ˈʌpə	a.上面的;地位较高的
upright	ˈʌprait	a.垂直的;正直的
uprising		
upset	ʌpˌset	vt.弄翻，打翻，倾覆
upstairs	ʌpˈsteəz	ad. 在楼上，到楼上
upward	ˈʌpwəd	a.向上的，上升的
upwards		
uranium		
urban	ˈəːbən	a.都市的,住在都市的
urbanization		
urbanize		
urge	əːdʒ	vt.推进;催促n.冲动
urgency		
urgent	ˈəːdʒənt	a.紧急的;强求的
urinate		
urine		
us		
usage	ˈjuːzidʒ	n.使用，对待;惯用法
use	juːz	vt. 利用,使用,应用 n. [juːs] 用法,应用,运用
used	juːzd	a. 用过的;旧的;二手的
useful	ˈjuːsful	a. 有用的，有益的
useless	ˈjuːslɪs	a. 无用的
user	ˈjuːzə	n. 使用者；用户
usual	ˈjuːʒʊəl	a. 通常的，平常的
usually	ˈjuːʒʊəlɪ	ad. 通常，经常
utility	juːˌtiliti	n.效用，有用，实用
utilization		
utilize	ˈjuːtilaiz	vt.利用
utmost	ˈʌtməust	a.最远的n.极限
utter	ˈʌtə	a.完全的，彻底的vt.发出，说，讲
utterly		
vacancy		
vacant	ˈveikənt	a.空的;未被占用的
vacation		
vaccinate		
vaccination		
vaccine		
vacuum	ˈvækjuəm	n.真空;真空吸尘器
vague	veig	a.模糊的，含糊的
vain	vein	a.徒劳的;自负的
valid	ˈvælid	a.有效的;正当的
validate		
validity		
valley	ˈvælɪ	n. 山谷, 溪谷
valuable	ˈvæljəbəl	n. 贵重物品；adj. 有价值的；贵重的；可估价的
value	ˈvæljuː	n.价值;价格vt.评价
valve		
van	væn	n.大篷车，运货车
vanish	ˈvæniʃ	vi.突然不见，消失
vanity		
vapor		
vapour	ˈveipə	n.汽，蒸气
variable	ˈveəriəbl	a.易变的n.变量
variant		
variation	veəriˌeiʃən	n.变化，变动;变异
variety	vəˌraiəti	n.多样化;种类;变种
various	ˈveəriəs	a.各种各样的，不同的
vary	ˈveəri	vt.改变;使多样化
vast	vaːst	a.巨大的;大量的
vegetable	ˈvedʒɪtəb(ə)l	n. 蔬菜
vegetarian		
vegetation		
vehicle	ˈviːikl	n.车辆，机动车
veil		
vein		
velocity	viˌlɔsiti	n.速度，速率
velvet		
vendor		
vent		
ventilate		
ventilation		
venture	ˈventʃə	n.&vi.冒险vt.敢于
venue		
verb		
verbal		
verdict		
verge		
verification		
verify	ˈverifai	vt.证实，查证;证明
versatile		
verse		
version	ˈvəːʃən	n.译文;说法;改写本
versus		
vertical	ˈvəːtikəl	a.垂直的，竖式的
very	ˈverɪ	ad. 很，非常
vessel	ˈvesl	n.容器;船，飞船;管
vest		
veteran	ˈvetərən	n.老兵，老手
veto		
via	ˈvaiə	prep.经过;通过
viable		
vibrate	vaiˌbreit	vt.使颤动vi.颤动
vibration		
vice	vais	n.罪恶;恶习;缺点；n.(老)虎钳
vicinity		
vicious		
victim	ˈvɪktɪm	n. 受害者，牺牲品
victimize		
victorious		
victory		
video	ˈvɪdɪəʊ	n. 录像，视频
view	vjuː	n. 观察；视野；意见；风景；vt. 观察；考虑；查看
viewpoint		
vigor		
vigorous	ˈvigərəs	a.朝气蓬勃的
village	ˈvɪlɪdʒ	n. 村庄，乡村
villager	'vilidʒə	n. 村民
vinegar	ˈvinigə	n.醋
violate		
violation		
violence	ˈvaɪələns	n. 暴力；侵犯；激烈；歪曲
violent	ˈvaiələnt	a.猛烈的;狂暴的
violet	ˈvaiəlit	n.紫罗兰
violin	vaɪəˈlɪn	n. 小提琴
violinist		
virgin		
virginity		
virtual		
virtually	ˈvəːtjuəli	ad.实际上，事实上
virtue	ˈvəːtjuː	n.善;美德;优点
virtuous		
virus		
visa		
visibility		
visible	ˈvizəbl	a.可见的，看得见的
vision	ˈviʒən	n.视;想象力;梦幻
visionary		
visit	ˈvizit	n.& vt. 参观，访问，拜访
visitor	ˈvɪzɪtə(r)	n. 访问者，参观者
visual	ˈvizjuəl	a.看的;看得见的
visualize		
vital	ˈvaitl	a.生命的;有生命力的
vitality		
vitamin	ˈvitəmin	n.维生素，维他命
vivid	ˈvivid	a.鲜艳的;生动的
vocabulary		
vocal		
vocation		
vocational		
vogue		
voice	vɔɪs	n. 说话声; 语态
void		
volatile		
volatility		
volcanic		
volcano	vɔlˌkeinəu	n.火山
volleyball	vɔlibɔːl	n. 排球
volt	vəult	n.伏特，伏
voltage	ˈvaultidʒ	n.电压
volume	ˈvɔljum	n.卷，册;容积;音量
voluminous		
voluntary	ˈvɔləntəri	a.自愿的，志愿的
volunteer	valənˌtɪə	n.志愿者 v. 自愿做某事
vote		
voter		
voucher		
vow		
voyage	vɔidʒ	n.&vi.航海，航空
vulgar		
vulnerability		
vulnerable		
wage	weidʒ	vt.开展(运动)
waggon	ˈwægən	n.四轮运货马车
wagon		
waist		
wait	weɪt	vi. 等，等候
waiter		
waitress		
waive		
waiver		
wake	weɪk	v. 醒来,叫醒
waken	ˈweikən	vi.醒来vt.弄醒
walk	wɔːk	n.& v. 步行；散步
wall		
wallet	ˈwɔlɪt	n. (放钱,证件等的)皮夹
wander	ˈwɔndə	vi.漫游;迷路;离题
want	wɔnt	n.需要;缺乏
war	wɔː(r)	n. 战争
ward		
wardrobe		
ware		
warehouse	ˈwɛrhaʊs	仓库；货栈；大商店
warfare		
warm	wɔːm	a. 暖和的,温暖的;热情的
warmth	wɔːmθ	n.暖和，温暖;热烈
warn	wɔrn	vt. 警告，提醒；通知；vi. 发出警告，发出预告
warning	ˈwɔːnɪŋ	n. 警报
warrant		
warranty		
warrior		
wary		
wash		
washing		
waste	weɪst	n.& vt. 浪费
wasteful		
watch	wɔtʃ	vt. 观看，注视；当心，注意 n. 手表，表
watchful		
water	ˈwɔːtə	n.水vt.使湿，灌溉
waterproof	ˈwɔːtəpruːf	a.不透水的，防水的
watertight		
watt		
wave	weiv	n.波;波涛vi.波动
wavy		
wax	wæks	n.蜡，蜂蜡
way	weɪ	n. 路，路线；方式，手段
we	wiː, wɪ	pron. 我们
weak	wiːk	a. 差的，弱的，淡的
weaken	ˈwiːkən	vt.削弱vi.变弱
weakness	ˈwiːknis	n.虚弱，软弱;弱点
wealth	wɛlθ	n. 财富；大量；富有
wealthy	ˈwelθi	n. 富人；adj. 富有的；充分的；丰裕的
weapon		
wear	weə	vt.磨损
weariness		
weary		
weather	weðə(r)	n. 天气
weave	ˈwiːv	vt.织，编vi.纺织
web	wɛb	网；卷筒纸；蹼；织物；圈套；用网缠住；使中圈套
webcast		
website		
wed		
wedding		
wedge		
Wednesday	ˈwenzdeɪ	n. 星期三
weed	wiːd	n.杂草，野草vi.除草
week	wiːk	n. 星期，周
weekday	ˈwiːkdeɪ	n. 平日,工作日
weekend	wiːkˈend, ˈwiːkend	n. 周末
weekly		
weep	wiːp	vi.哭泣，流泪
weigh	weɪ	vt. 称…的重量，重（若干）
weight	weɪt	n. 重，重量
weird		
welcome	ˈwelkəm	int.n. & v. 欢迎 a. 受欢迎的
weld	weld	vt.&n.焊接，熔接
welfare	ˈwelfeə	n.幸福，福利
well	wel	(better, best) ad. 好 a.好的,健康的 int. 好吧,那么,哎呀 n. 井
well-being		
well-known	wel- nəʊn	a. 出名,众所周知的
well-off		
west	west	a. (在)西；向西,从西来的 ad. 在西方,向西方 n. 西部；西方
western	ˈwest(ə)n	a. 西方的，西部的
westerner	'westənə	n. 西方人
wet	wet	a. 湿的,潮的,多雨的
whale		
wharf		
what	wɔt; (US) hwɑt	pron. 什么,怎么样 a. 多么，何等；什么
whatever	wɔtˈevə(r)	conj. & pron. 无论什么，不管什么
whatsoever		
wheat	wiːt	n.小麦
wheel	wiːl	n.轮，车轮
when	wen	conj. 当…的时候 ad. 什么时候，何时
whenever	wenˈevə(r)	conj. 每当，无论何时
where	weə(r); (US) hweər	ad. 在哪里；往哪里
whereabouts		
whereas		
whereby		
wherever	weərˈevə(r)	conj. 无论在哪里
whether	ˈweðə(r); (US) ˈhweðər	conj. 是否
which	wɪtʃ; (US) hwɪtʃ	pron. 哪一个；哪些
whichever	wɪtʃˈevə(r)	pron. 无论哪个;无论哪些
while	waɪl; (US) hwaɪl	conj. 在…的时候,和…同时 n. 一会儿，一段时间
whilst	ˈwailst	conj.&n.当…的时候
whip	wip	vt.鞭笞;搅打n.鞭子
whirl		
whisky		
whisper	ˈwispə	vt.低声地讲vi.低语
whistle	ˈwisl	n.口哨vi.吹口哨
white	waɪt; (US) hwaɪt	a. 白色的 n. 白色
who	huː	pron. 谁
whoever		
whole	həʊl	a. 整个的
wholesale		
wholesome		
wholly	ˈhəuli	ad.完全地，全部
whom	huːm	pron. (who的宾格 )
whose	huːz	pron. 谁的
why	waɪ; (US) hwaɪ	ad./ int. 为什么, 你难道不知道（表示反驳、不耐烦等）
wicked	ˈwikid	a.坏的;令人厌恶的
wide	waid	a. 宽阔的
widen	ˈwaidn	vt.加宽vi.变宽
widespread		
widow	ˈwidəu	n.寡妇
widower		
width	widθ	n.宽阔，广阔;宽度
wield		
wife	waɪf	n. 妻子
wild	waɪld	n. 荒野；adj. 野生的；野蛮的；狂热的；荒凉的；adv. 疯狂地；胡乱地
wilderness		
wildlife	ˈwaɪldlaɪf	野生动植物；野生动植物的
will	wɪl	n. 意志, 遗嘱
willing	ˈwiliŋ	a.愿意的，心甘情愿的
willingness	ˈwɪlɪŋnɪs	乐意；心甘情愿；自动自发
willpower		
win	wɪn	n. 获胜，赢得 
wind	waind	vt.绕，缠绕vi.卷曲
window	ˈwɪndəʊ	n. 窗户；计算机的窗
windy	ˈwɪndɪ	a. 有风的，多风的
wine	waɪn	n. 酒
winery		
wing	wiŋ	n.翼，翅膀，翅
wink		
winner	ˈwɪnə(r)	n. 获胜者
winter	ˈwɪntə(r)	n. 冬天，冬季
wipe	waɪp	n. 擦拭；用力打；vi. 擦；打；vt. 擦；消除；涂上
wire	ˈwaiə	n.金属线;电缆;电信
wireless		
wisdom		
wise		
wish	wɪʃ	n. 愿望，祝愿 vt. 希望，想要，祝愿
wit	wit	n.智力，才智，智能
witch		
with	wɪð	prep.关于,带有,以,和,用,有
withdraw	wiðˌdrɔː	vt.收回;撤回vi.撤退
withdrawal		
wither		
withhold		
within		
without	wɪðaʊt	prep. 没有
withstand	wiðˌstænd	vt.抵挡，反抗
witness	ˈwitnis	n.证据;证人vt.目击
witty		
wolf		（复wolves）[wʊlf] n. 狼
woman	ˈwʊmən	n. 妇女，女人
wonder	ˈwʌndə(r)	v. 对…疑惑，感到惊奇,想知道 n. 惊讶,惊叹;奇迹
wonderful	ˈwʌndəfʊl	a. 美妙的，精彩的；了不起的；太好了
wood	wud	n.木头,木材,(复)树木,森林
wooden	ˈwudn	a.木制的;呆板的
wool	wul	n.羊毛;毛线，绒线
woolen	'wulin	a. 羊毛的，羊毛制的
word	wəːd	n. 词，单词；话
wording		
work	wəːk	n. 工作,劳动,事情 vi. 工作;(机器、器官等)运转,活动
worker	wəːkə(r)	n. 工人；工作者
workforce	ˈwɜːkfɔːs	n. 劳动力；工人总数，职工总数
workman	ˈwəːkmən	n.工人，劳动者，工匠
workout		
workshop	ˈwəːkʃɔp	n.车间，工场;创作室
world	wəːld	n. 世界
world-wide	ˈwəːldwaid	a.遍及全球的
worldwide	ˈwɝldwaɪd	全世界的；在世界各地
worm	wəːm	n.虫，蠕虫
worried	'wʌrɪd	a. 担心的，烦恼的
worry	wʌrɪ	n.& v. 烦恼,担忧,发怒,困扰
worse	wəːs	a. (bad的比较级)更坏的
worship	ˈwəːʃip	n.礼拜;崇拜vt.崇拜
worst	wəːst	a.最坏的ad.最坏地
worth	wəːθ	a.值…的n.价值
worthiness		
worthless	ˈwəːθlis	a.无价值的，无用的
worthwhile	ˈwəːθˌwail	a.值得花时间的
worthy	ˈwəːði	a.有价值的;值得的
would	wəd, wud	modal v.（will的过去时）将会,打算,想要,过去常常
wound	wuːnd	n.创伤，伤vt.使受伤
wrap	ræp	vt.裹，包，捆n.披肩
wrapping		
wreck	rek	n.失事;残骸vt.破坏
wreckage		
wrench		
wrestle		
wrestling		
wretched		
wrinkle		
wrist	rist	n.腕，腕关节
write	raɪt	(wrote, written) v. 写，书写；写作，著述
writer		
writing		
wrong	rɔŋ	a. 错误,不正常,有毛病的
X-ray	ˈeksˌrei	n.X射线，X光
xion		
yacht		
yard	jaːd	n.院子，庭院;场地；n.码
yawn	jɔːn	vi.打呵欠n.呵欠
yeah		
year	jɪə(r), jəː(r)	n. 年
yearly	ˈjəːli	a.每年的ad.一年一度
yearn		
yearning		
yell	yel	大叫，叫喊；喊声，叫声
